Holdings details

S&P 500 Growth ETF (VOOG)


Equity,as of 11/30/2024

,SEDOL,HOLDINGS,TICKER,% OF FUNDS*,SECTOR,COUNTRY,SECURITYDEPOSITORYRECEIPTTYPE,MARKET VALUE*,SHARES
,2130109,ONEOK Inc,OKE,0.14%,Oil & Gas Storage & Transportation,US,---,"$20,257,265.60","178,321"
,2640147,NIKE Inc,NKE,0.14%,Footwear,US,---,"$20,041,451.10","254,430"
,2023748,Hess Corp,HES,0.14%,Oil & Gas Exploration & Production,US,---,"$20,030,167.74","136,093"
,2380863,WW Grainger Inc,GWW,0.14%,Trading Companies & Distributors,US,---,"$19,780,834.74","16,411"
,B7FBFL2,American Tower Corp,AMT,0.14%,Telecom Tower REITs,US,---,"$19,719,568.00","94,352"
,2372763,Gartner Inc,IT,0.14%,IT Consulting & Other Services,US,---,"$19,645,084.90","37,930"
,BP6H4Y1,GE Vernova Inc,GEV,0.14%,Heavy Electrical Equipment,US,---,"$19,447,788.72","58,206"
,2937667,Waste Management Inc,WM,0.13%,Environmental & Facilities Services,US,---,"$19,327,038.92","84,686"
,2740542,Arch Capital Group Ltd,ACGL,0.13%,Property & Casualty Insurance,US,---,"$18,584,652.96","184,518"
,2065955,AutoZone Inc,AZO,0.13%,Automotive Retail,US,---,"$18,411,857.86","5,809"
,B23FN39,Lululemon Athletica Inc,LULU,0.13%,"Apparel, Accessories & Luxury Goods",US,---,"$18,159,937.78","56,633"
,2252058,Moody's Corp,MCO,0.13%,Financial Exchanges & Data,US,---,"$18,137,274.48","36,276"
,B8CKK03,Mondelez International Inc,MDLZ,0.12%,Packaged Foods & Meats,US,---,"$17,950,036.65","276,367"
,BMH4FS1,Constellation Energy Corp,CEG,0.12%,Electric Utilities,US,---,"$17,772,680.88","69,273"
,2160753,CSX Corp,CSX,0.12%,Rail Transportation,US,---,"$17,445,022.60","477,292"
,2150204,Quanta Services Inc,PWR,0.12%,Construction & Engineering,US,---,"$17,234,613.00","50,025"
,2359506,Arthur J Gallagher & Co,AJG,0.12%,Insurance Brokers,US,---,"$17,176,634.64","55,011"
