Holdings details

S&P 500 Growth ETF (VOOG)


Equity,as of 10/31/2024

,SEDOL,HOLDINGS,TICKER,% OF FUNDS*,SECTOR,COUNTRY,SECURITYDEPOSITORYRECEIPTTYPE,MARKET VALUE*,SHARES
,BFY8C75,STERIS PLC,STE,0.04%,Health Care Equipment,US,---,"$5,890,783.05","26,553"
,2900335,Tractor Supply Co,TSCO,0.04%,Other Specialty Retail,US,---,"$5,777,763.11","21,761"
,2849472,Steel Dynamics Inc,STLD,0.04%,Steel,US,---,"$5,673,487.50","43,475"
,B28TS42,Ulta Beauty Inc,ULTA,0.04%,Other Specialty Retail,US,---,"$5,585,250.26","15,137"
,2162340,Coterra Energy Inc,CTRA,0.04%,Oil & Gas Exploration & Production,US,---,"$5,574,125.44","233,032"
,BLS09M3,Pentair PLC,PNR,0.04%,Industrial Machinery & Supplies & Components,US,---,"$5,519,199.84","55,682"
,2195841,Church & Dwight Co Inc,CHD,0.04%,Household Products,US,---,"$5,407,029.29","54,119"
,B02T2J7,Las Vegas Sands Corp,LVS,0.04%,Casinos & Gaming,US,---,"$5,374,096.95","103,647"
,B9CGTC3,Norwegian Cruise Line Holdings Ltd,NCLH,0.04%,"Hotels, Resorts & Cruise Lines",US,---,"$5,354,063.26","211,289"
,2212706,Molina Healthcare Inc,MOH,0.04%,Managed Health Care,US,---,"$5,342,209.82","16,631"
,BBM5MD6,CDW Corp/DE,CDW,0.04%,Technology Distributors,US,---,"$5,075,245.49","26,963"
,BDFG6S3,Hubbell Inc,HUBB,0.04%,Electrical Components & Equipment,US,---,"$5,066,710.95","11,865"
,2126249,Mettler-Toledo International Inc,MTD,0.04%,Life Sciences Tools & Services,US,---,"$5,002,947.75","3,873"
,2422806,Hershey Co/The,HSY,0.04%,Packaged Foods & Meats,US,---,"$4,789,332.60","26,970"
,BZ6TS23,SBA Communications Corp,SBAC,0.04%,Telecom Tower REITs,US,---,"$4,742,685.96","20,668"
